Registrado,Línea,Texto breve de material,Ctd.total reg.,    Valor var.
2020-08,Pintado 1 UNI,0716-HVAC RAL-9001 II,1324.869,12202.050000000001
2020-08,Pintado 1 UNI,0718-SANDPIPER BEIGE,1746.0,14352.119999999999
2020-08,Pintado 1 UNI,0905-ROJO MET TEJA,490.0,2646.0
2020-08,Pintado 1 UNI,0906-ROJO MET TEJA BACKER,233.5,1807.29
2020-08,Pintado 1 UNI,0936-ROJO WRINKLED CR,8255.0,67443.35
2020-08,Pintado 1 UNI,0946-BURGUNDY CS XR3Y43420,846.25,12524.5
2020-08,Pintado 1 UNI,0987-DEEP RED TRINAR,651.306,23701.02
2020-08,Pintado 1 UNI,1014-WHITE PRIMER,1994.0,16430.56
2020-08,Pintado 1 UNI,1026-CLEAR PRINT INOX,150.0,1174.5
2020-08,Pintado 1 UNI,1027-BLACK INK PRINT,50.0,423.0
2020-08,Pintado 1 UNI,1042-BLACK STAINLESS LIKE CLR,105.0,1029.0
2020-08,Pintado 1 UNI,1104-WHITE BACKER 28555,597.5,6148.27
2020-08,Pintado 1 UNI,1418-PRINTING SILVER INOX,170.0,2247.4
2020-08,Pintado 1 UNI,1474-PRINTING DARK SILVER INOX,120.0,1662.0
2020-08,Pintado 1 UNI,1475-CHACOAL GRAY CKA3Y49403,313.37,11638.56
2020-08,Pintado 1 UNI,1487-AMERICAN STERLING III,3112.0,25238.32
2020-08,Pintado 1 UNI,BECKRYPRIM 243,2635.0,14966.8
2020-08,Pintado 1 UNI,BLANCO IMPERIAL JUV SILIC,600.0,4008.0
2020-08,Pintado 1 UNI,HIGH BUILT PRIMER,3655.0,24196.1
2020-08,Pintado 1 UNI,PRIMARIO 4435,385.0,2240.7
2020-08,Pintado 1 UNI,PRIMER 4457,17663.0,96969.87
2020-08,Pintado 1 UNI,ROJO JANITZIO BB,3730.0,22454.6
2020-08,Pintado 1 UNI,VERDE STD SILIC,687.068,8224.220000000001
2020-08,Pintado 1 UNI,WARM DARK GRAY SMOOTH,14958.0,123403.5
2020-08,Pintado 1 UNI,WHITE KRYSTAL KOTE,2915.0,27575.9
2020-08,Pintado 2 UNI,0021-UNIVERSAL PRIMER,5242.9039999999995,35651.78
2020-08,Pintado 2 UNI,0023-CLEAR EPOXICO P/ESPUMA,745.0,3105.1
2020-08,Pintado 2 UNI,0027-80 GLOSS CLEAR BACKER II,260.0,1409.2
2020-08,Pintado 2 UNI,0028-CLEAR P/ESPUMA,8826.0,33022.23
2020-08,Pintado 2 UNI,0039-CR FREE POLYURETAN PRIMER,445.0,4134.05
2020-08,Pintado 2 UNI,0043-PRIMARIO NEGRO 4866,1101.0,8719.92
2020-08,Pintado 2 UNI,0054-CLEAR KRYSTAL KOTE,8412.0,79156.92
2020-08,Pintado 2 UNI,0068-APPLIANCE 10 GLOSS CLEAR,999.895,7689.18
2020-08,Pintado 2 UNI,0075-CLEAR LAUNDRY BACKER ROHS,573.75,3258.9
2020-08,Pintado 2 UNI,0079-BECKRYPRIM 246,1130.0,6339.3
2020-08,Pintado 2 UNI,0097-CLEAR APPLIANCE BACKER MC,897.0,6126.5199999999995
2020-08,Pintado 2 UNI,0099-CLEAR P/ESPUMA ROHS,570.0,2582.1
2020-08,Pintado 2 UNI,0102-BLANCO STD,1190.0,5700.1
2020-08,Pintado 2 UNI,0104-BLANCO SUPERMATIC,4776.517,27465.02
2020-08,Pintado 2 UNI,0106-BLANCO CONFAD,5059.75,43311.46
2020-08,Pintado 2 UNI,0110-DURAPLUS BLANCO STD,570.0,3072.3
2020-08,Pintado 2 UNI,0144-WHITE POLYESTER ROHS,855.0,5959.35
2020-08,Pintado 2 UNI,0147-BLANCO 15 II MOD ROHS,195.0,1575.6
2020-08,Pintado 2 UNI,0148-DURAPLUS BCO MET9010 USDA,290.0,1740.0
2020-08,Pintado 2 UNI,0175-SNOW WHITE ROHS,116.0,3776.96
2020-08,Pintado 2 UNI,0177-WHITE 800043 LAUNDRY,1584.051,14905.9
2020-08,Pintado 2 UNI,0178-WHITE TEXT KOTE,2392.0,21360.56
2020-08,Pintado 2 UNI,0193-WHITE 12H2427 LAV ROHS,2610.389,19708.44
2020-08,Pintado 2 UNI,0318-TOPAZ METALLIC 14H2593,723.624,12670.67
2020-08,Pintado 2 UNI,0400-GRIS FONDO,705.0,3151.35
2020-08,Pintado 2 UNI,0435-APOLLO GRAY KRYSTAL KOTE,7235.0,67140.8
2020-08,Pintado 2 UNI,0439-PRIVATE LABEL GRAY TEXT,600.0,6912.0
2020-08,Pintado 2 UNI,0443-PRIVATE LABEL GRAY,1302.0,13189.26
2020-08,Pintado 2 UNI,0504-BLACK QL,423.0,3227.49
2020-08,Pintado 2 UNI,0517-BLACK POLYESTER ROHS,2133.0,14781.69
2020-08,Pintado 2 UNI,0524-BLACK KRYSTAL KOTE,2200.0,20196.0
2020-08,Pintado 2 UNI,0534-BLACK TEXT KOTE,2204.0,18072.8
2020-08,Pintado 2 UNI,0601-VERDE PRIMSA,8082.0,29903.4
2020-08,Pintado 2 UNI,0700-ARENA STD,1075.0,5364.0
2020-08,Pintado 2 UNI,0709-BISQUET SUPERMATIC,60.0,443.4
2020-08,Pintado 2 UNI,1005-COIL PRIMER ROHS,280.0,2119.6
2020-08,Pintado 2 UNI,1014-WHITE PRIMER,800.0,6592.0
2020-08,Pintado 2 UNI,1028-CLEAR BLUE EPOXY,1485.0,6928.35
2020-08,Pintado 2 UNI,1031-BECKRYPRIM 235 NEGRO,225.0,1296.0
2020-08,Pintado 2 UNI,1052-PRIMER NCC CR FREE,62.0,1954.24
2020-08,Pintado 2 UNI,1128-BLANCO PURO G9010 ROHS,927.0,5487.84
2020-08,Pintado 2 UNI,1431-GRIS 356 TEXT.,503.0,4426.4
2020-08,Pintado 2 UNI,BISQUE KRYSTAL KOTE,170.0,1674.5
2020-08,Pintado 2 UNI,BLACK PRIMER ROHS,440.0,3638.8
2020-08,Pintado 2 UNI,BLANCO 15 II MOD.,1611.43,9942.51
2020-08,Pintado 2 UNI,BLANCO QUANTUM SAB ROHS,230.0,2093.0
2020-08,Pintado 2 UNI,CHROME FREE POLYURETANE PRIMER,1475.62,16276.09
2020-08,Pintado 2 UNI,CLEAR INOXIDABLE,1921.0,16501.39
2020-08,Pintado 2 UNI,CLEAR LAUNDRY BACKER,1214.869,6584.61
2020-08,Pintado 2 UNI,HIGH BUILT PRIMER,677.0,4481.74
2020-08,Pintado 2 UNI,PRIMER 4457,520.0,2854.7999999999997
2020-08,Pintado 2 UNI,WARM DARK GRAY SMOOTH,250.0,2062.5
2020-08,Pintado 2 UNI,WHITE KRYSTAL KOTE,2333.0,22070.18
2020-09,Pintado 1 UNI,0013-PRIMER 243,114.267,727.88
2020-09,Pintado 1 UNI,0021-UNIVERSAL PRIMER,123.5,839.8
2020-09,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,1110.0,4621.8
2020-09,Pintado 1 UNI,0025-CLEAR EPOXY (WASH COAT),114.25,418.16
2020-09,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,1025.0,5555.5
2020-09,Pintado 1 UNI,0028-CLEAR P/ESPUMA,6912.0,28727.46
2020-09,Pintado 1 UNI,0036-BACK PRIMER,685.0,5445.75
2020-09,Pintado 1 UNI,0038-PRIMER 917,272.784,1721.26
2020-09,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,435.0,3445.2
2020-09,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,1760.0,9539.2
2020-09,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,9802.0,92236.81999999999
2020-09,Pintado 1 UNI,0079-BECKRYPRIM 246,4450.0,24964.5
2020-09,Pintado 1 UNI,0088-CLEAR TOP PIZZA,109.11,1115.1
2020-09,Pintado 1 UNI,0090-PRIMER 60000,60.0,397.8
2020-09,Pintado 1 UNI,0093-50 GLOSS CLEAR ONE PASS,467.75,6454.95
2020-09,Pintado 1 UNI,0102-BLANCO STD,1700.0,8143.0
2020-09,Pintado 1 UNI,0121-BLANCO STD KYNAR,152.0,2375.7599999999998
2020-09,Pintado 1 UNI,0132-BLANCO MONOCAPA,730.0,3569.7
2020-09,Pintado 1 UNI,0139-NEW PRIME WHITE,1433.0,11621.63
2020-09,Pintado 1 UNI,0178-WHITE TEXT KOTE,1720.0,15359.6
2020-09,Pintado 1 UNI,0400-GRIS FONDO,1850.0,8317.8
2020-09,Pintado 1 UNI,0404-GRIS FONDO MC,45.0,244.8
2020-09,Pintado 1 UNI,0405-TAUPE METALLIC,3146.0,35549.8
2020-09,Pintado 1 UNI,0422-BACKER 0507 CR,5012.0,35134.12
2020-09,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,8267.0,76717.76
2020-09,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,4580.0,52761.6
2020-09,Pintado 1 UNI,0440-BALTIC GRAY HVAC,4662.0,34731.9
2020-09,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,5600.0,56728.0
2020-09,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,95.0,813.2
2020-09,Pintado 1 UNI,0498-GRIS FONDO 70 GLOSS,94.25,846.37
2020-09,Pintado 1 UNI,0503-NEGRO ERNA,303.5,2197.34
2020-09,Pintado 1 UNI,0524-BLACK KRYSTAL KOTE,740.0,6793.2
2020-09,Pintado 1 UNI,0534-BLACK TEXT KOTE,1800.0,14760.0
2020-09,Pintado 1 UNI,0543-BLACK METALLIC,397.75,5234.39
2020-09,Pintado 1 UNI,0601-VERDE PRIMSA,3930.0,14541.0
2020-09,Pintado 1 UNI,0607-VERDE INGLES,230.0,1918.2
2020-09,Pintado 1 UNI,0620-VERDE PINO RAL-6028 POLY,125.0,832.5
2020-09,Pintado 1 UNI,0700-ARENA STD,2255.0,10756.35
2020-09,Pintado 1 UNI,0712-HVAC RAL-9001,55.34,558.38
2020-09,Pintado 1 UNI,0718-SANDPIPER BEIGE,1030.0,8466.6
2020-09,Pintado 1 UNI,0901-ROJO STD,2137.0,12458.71
2020-09,Pintado 1 UNI,0903-HVAC RAL-3005,447.801,7146.9
2020-09,Pintado 1 UNI,0928-BURGUNDY PIZZA,194.25,4271.5599999999995
2020-09,Pintado 1 UNI,0936-ROJO WRINKLED CR,9365.0,76512.05
2020-09,Pintado 1 UNI,0946-BURGUNDY CS XR3Y43420,483.5,7155.8
2020-09,Pintado 1 UNI,1013-DYNAPRIME 2821,20.0,127.4
2020-09,Pintado 1 UNI,1014-WHITE PRIMER,800.0,6592.0
2020-09,Pintado 1 UNI,1101-WHITE HVAC 101385,34.25,295.92
2020-09,Pintado 1 UNI,1104-WHITE BACKER 28555,150.0,1543.5
2020-09,Pintado 1 UNI,1470-CHARCOAL 48842,120.0,708.0
2020-09,Pintado 1 UNI,1487-AMERICAN STERLING III,4596.0,37273.56
2020-09,Pintado 1 UNI,1489-IRON ORE GRAY,1280.0,11110.4
2020-09,Pintado 1 UNI,1490-IRON ORE GRAY TXT,200.0,1852.0
2020-09,Pintado 1 UNI,ARENA STD USDA,200.0,1398.0
2020-09,Pintado 1 UNI,BECKRYPRIM 243,3045.0,17295.6
2020-09,Pintado 1 UNI,BLANCO RAL 9003 BACKER,625.0,3425.0
2020-09,Pintado 1 UNI,BLANCO RAL 9003 POLY,200.0,1126.0
2020-09,Pintado 1 UNI,BROWN T413 SILIC.,433.534,4326.66
2020-09,Pintado 1 UNI,DURAPLUS ARENA STD,255.0,1644.75
2020-09,Pintado 1 UNI,DURAPLUS BLANCO COOL ROOF 75,295.0,2256.75
2020-09,Pintado 1 UNI,GRIS BACKER TERNIUM,119.25,702.38
2020-09,Pintado 1 UNI,HIGH BUILT PRIMER,530.0,3508.6
2020-09,Pintado 1 UNI,PRIMARIO 4435,1040.0,6052.8
2020-09,Pintado 1 UNI,PRIMER 4457,14510.0,79659.9
2020-09,Pintado 1 UNI,RAL9006 VW ALUMINUM,750.0,12607.5
2020-09,Pintado 1 UNI,ROJO JANITZIO BB,4645.0,27962.9
2020-09,Pintado 1 UNI,ROJO RAL-8004 POLY,240.0,1418.4
2020-09,Pintado 1 UNI,SAND TEXTURED,100.0,928.0
2020-09,Pintado 1 UNI,VERDE STD SILIC,119.267,1427.63
2020-09,Pintado 1 UNI,WARM DARK GRAY SMOOTH,6205.0,51191.25
2020-09,Pintado 1 UNI,WHITE KRYSTAL KOTE,4449.0,42087.54
2020-09,Pintado 2 UNI,0021-UNIVERSAL PRIMER,7165.688,48726.71
2020-09,Pintado 2 UNI,0023-CLEAR EPOXICO P/ESPUMA,320.0,1337.6
2020-09,Pintado 2 UNI,0027-80 GLOSS CLEAR BACKER II,185.0,1002.7
2020-09,Pintado 2 UNI,0028-CLEAR P/ESPUMA,5146.0,21100.97
2020-09,Pintado 2 UNI,0036-BACK PRIMER,450.0,3577.5
2020-09,Pintado 2 UNI,0038-PRIMER 917,59.267,373.97
2020-09,Pintado 2 UNI,0039-CR FREE POLYURETAN PRIMER,585.0,5235.75
2020-09,Pintado 2 UNI,0043-PRIMARIO NEGRO 4866,1865.0,14770.8
2020-09,Pintado 2 UNI,0054-CLEAR KRYSTAL KOTE,1861.0,17512.01
2020-09,Pintado 2 UNI,0066-SUPER HIGH GLOSS CLEAR II,800.0,7552.0
2020-09,Pintado 2 UNI,0068-APPLIANCE 10 GLOSS CLEAR,1582.5,12169.41
2020-09,Pintado 2 UNI,0075-CLEAR LAUNDRY BACKER ROHS,979.137,5561.5
2020-09,Pintado 2 UNI,0079-BECKRYPRIM 246,120.0,673.2
2020-09,Pintado 2 UNI,0092-80 GLOSS CLEAR LAV,487.75,5106.75
2020-09,Pintado 2 UNI,0097-CLEAR APPLIANCE BACKER MC,5184.075,35407.29
2020-09,Pintado 2 UNI,0099-CLEAR P/ESPUMA ROHS,3499.0,15850.47
2020-09,Pintado 2 UNI,0102-BLANCO STD,400.0,1916.0
2020-09,Pintado 2 UNI,0104-BLANCO SUPERMATIC,3505.5,20156.65
2020-09,Pintado 2 UNI,0106-BLANCO CONFAD,7616.654,65198.56
2020-09,Pintado 2 UNI,0114-BLANCO QL,835.0,6638.25
2020-09,Pintado 2 UNI,0139-NEW PRIME WHITE,1381.0,11199.91
2020-09,Pintado 2 UNI,0144-WHITE POLYESTER ROHS,2114.0,14351.18
2020-09,Pintado 2 UNI,0147-BLANCO 15 II MOD ROHS,565.0,4565.2
2020-09,Pintado 2 UNI,0177-WHITE 800043 LAUNDRY,7487.379,70456.14
2020-09,Pintado 2 UNI,0178-WHITE TEXT KOTE,1427.0,12743.11
2020-09,Pintado 2 UNI,0193-WHITE 12H2427 LAV ROHS,3143.5,23733.46
2020-09,Pintado 2 UNI,0318-TOPAZ METALLIC 14H2593,946.877,16579.82
2020-09,Pintado 2 UNI,0400-GRIS FONDO,120.0,536.4
2020-09,Pintado 2 UNI,0435-APOLLO GRAY KRYSTAL KOTE,1820.0,16889.6
2020-09,Pintado 2 UNI,0443-PRIVATE LABEL GRAY,460.0,4659.8
2020-09,Pintado 2 UNI,0517-BLACK POLYESTER ROHS,1173.0,8128.89
2020-09,Pintado 2 UNI,0524-BLACK KRYSTAL KOTE,200.0,1836.0
2020-09,Pintado 2 UNI,0526-BLACK REF SAB,2458.0,21679.56
2020-09,Pintado 2 UNI,0529-BLACK QUANTUM SAB II,1054.0,9317.36
2020-09,Pintado 2 UNI,0534-BLACK TEXT KOTE,2070.0,16974.0
2020-09,Pintado 2 UNI,0601-VERDE PRIMSA,6005.0,22218.5
2020-09,Pintado 2 UNI,0716-HVAC RAL-9001 II,497.801,4584.75
2020-09,Pintado 2 UNI,1005-COIL PRIMER ROHS,1744.0,13202.08
2020-09,Pintado 2 UNI,1014-WHITE PRIMER,600.0,4944.0
2020-09,Pintado 2 UNI,1028-CLEAR BLUE EPOXY,1830.0,7550.7
2020-09,Pintado 2 UNI,1031-BECKRYPRIM 235 NEGRO,200.0,1152.0
2020-09,Pintado 2 UNI,1128-BLANCO PURO G9010 ROHS,7005.0,41469.6
2020-09,Pintado 2 UNI,1129-BLANCO GRIS G9073 ROHS,110.0,674.3
2020-09,Pintado 2 UNI,1431-GRIS 356 TEXT.,822.0,7233.6
2020-09,Pintado 2 UNI,BISQUE QUANTUM SAB,44.0,343.2
2020-09,Pintado 2 UNI,BLACK PRIMER ROHS,280.0,2315.6
2020-09,Pintado 2 UNI,BLANCO QUANTUM SAB,270.0,2411.1
2020-09,Pintado 2 UNI,CHROME FREE POLYURETANE PRIMER,1563.403,17244.38
2020-09,Pintado 2 UNI,CLEAR INOXIDABLE,2800.0,24052.0
